t_loss,t_supervised_loss,t_contrastive_loss,t_consistency_loss,t_miou,t_accuracy,t_dice,v_loss,v_supervised_loss,v_contrastive_loss,v_consistency_loss,v_miou,v_accuracy,v_dice,time
3.3645,0.3333,6.0623,0,0.4547,0.7943,0.5567,0.2574,0.2574,0,0,0.4518,0.8617,0.5144,2024-06-02 12:44:49
2.801,0.1587,5.2846,0,0.6715,0.9163,0.7614,0.1619,0.1619,0,0,0.7215,0.9236,0.8108,2024-06-02 12:46:52
2.7032,0.1252,5.156,0,0.7385,0.932,0.8283,0.1559,0.1559,0,0,0.7424,0.926,0.8286,2024-06-02 12:48:54
2.6216,0.0893,5.0646,0,0.8096,0.9529,0.8831,0.1641,0.1641,0,0,0.7541,0.9373,0.8347,2024-06-02 12:50:57
2.5319,0.0752,4.9135,0,0.8449,0.963,0.9064,0.1583,0.1583,0,0,0.7671,0.939,0.844,2024-06-02 12:53:00
2.4576,0.0708,4.7737,0,0.8605,0.965,0.9193,0.1721,0.1721,0,0,0.7653,0.9289,0.8467,2024-06-02 12:55:03
2.4028,0.0648,4.6761,0,0.8558,0.9673,0.9132,0.168,0.168,0,0,0.7858,0.9354,0.8598,2024-06-02 12:57:07
2.352,0.0563,4.5913,0,0.8878,0.9718,0.9373,0.1751,0.1751,0,0,0.7796,0.9399,0.8531,2024-06-02 12:59:10
2.3251,0.0496,4.551,0,0.8931,0.9751,0.939,0.1838,0.1838,0,0,0.7749,0.9398,0.8498,2024-06-02 13:01:13
2.2959,0.0442,4.5034,0,0.9027,0.9778,0.9463,0.1909,0.1909,0,0,0.7786,0.9397,0.8514,2024-06-02 13:03:16
2.2709,0.0385,4.4648,0,0.9175,0.9805,0.9551,0.1852,0.1852,0,0,0.7888,0.9426,0.861,2024-06-02 13:05:20
2.2628,0.0438,4.438,0,0.9071,0.9791,0.9488,0.184,0.184,0,0,0.7842,0.9436,0.8566,2024-06-02 13:07:22
2.2579,0.0403,4.4352,0,0.9135,0.9799,0.9526,0.1873,0.1873,0,0,0.7778,0.9434,0.8516,2024-06-02 13:09:26
2.2471,0.0366,4.4211,0,0.9213,0.9815,0.9577,0.1944,0.1944,0,0,0.7902,0.9427,0.8588,2024-06-02 13:11:29
2.2419,0.0353,4.4133,0,0.926,0.9824,0.9603,0.2029,0.2029,0,0,0.7773,0.943,0.8498,2024-06-02 13:13:32
