t_loss,t_supervised_loss,t_contrastive_loss,t_consistency_loss,t_miou,t_accuracy,t_dice,v_loss,v_supervised_loss,v_contrastive_loss,v_consistency_loss,v_miou,v_accuracy,v_dice,time
1.7111,0.6357,9.4966,0.0314,0.7693,0.9247,0.8395,0.0476,0.0476,0,0,0.9189,0.9831,0.9545,2024-05-29 09:05:04
1.6758,0.6353,9.2248,0.0295,0.7698,0.925,0.8399,0.0472,0.0472,0,0,0.9203,0.9833,0.9554,2024-05-29 10:02:10
1.6457,0.6358,8.9746,0.0281,0.77,0.9249,0.8401,0.047,0.047,0,0,0.9249,0.9826,0.9583,2024-05-29 10:59:14
1.659,0.6345,9.1771,0.0267,0.7697,0.9249,0.8398,0.0477,0.0477,0,0,0.9196,0.9831,0.9549,2024-05-29 11:54:49
1.6675,0.6361,9.2818,0.0258,0.7695,0.9248,0.8397,0.0472,0.0472,0,0,0.9254,0.9827,0.9585,2024-05-29 12:50:22
1.6611,0.6355,9.2814,0.0244,0.7702,0.925,0.8402,0.0474,0.0474,0,0,0.9207,0.9833,0.9556,2024-05-29 13:46:33
1.6814,0.6387,9.4926,0.0234,0.7688,0.9246,0.8391,0.0472,0.0472,0,0,0.9254,0.9827,0.9585,2024-05-29 14:42:38
1.659,0.6358,9.3522,0.022,0.7699,0.9251,0.8399,0.0471,0.0471,0,0,0.9207,0.9833,0.9556,2024-05-29 15:38:21
1.6579,0.6368,9.3772,0.0208,0.7699,0.9249,0.8398,0.0471,0.0471,0,0,0.9216,0.9834,0.956,2024-05-29 16:34:30
1.6003,0.6134,9.0824,0.0197,0.763,0.9267,0.8314,0.0751,0.0751,0,0,0.9093,0.9799,0.9455,2024-05-29 17:44:13
1.5384,0.6106,8.5232,0.0188,0.7645,0.9272,0.8325,0.0741,0.0741,0,0,0.9096,0.98,0.9459,2024-05-29 18:38:46
1.5429,0.6123,8.5782,0.0182,0.7637,0.9270,0.8318,0.0748,0.0748,0,0,0.9089,0.9799,0.9452,2024-05-29 19:33:36
