t_loss,t_supervised_loss,t_contrastive_loss,t_consistency_loss,t_miou,t_accuracy,t_dice,v_loss,v_supervised_loss,v_contrastive_loss,v_consistency_loss,v_miou,v_accuracy,v_dice,time
3.568,0.596,27.2195,0.0625,0.7563,0.9253,0.8261,0.0305,0.0305,0,0,0.9094,0.9813,0.9495,2024-05-29 20:27:04
3.1137,0.5746,22.8807,0.0627,0.7565,0.9276,0.8244,0.2156,0.2156,0,0,0.6333,0.9343,0.6948,2024-05-29 13:06:09
3.1789,0.575,23.5914,0.0612,0.7564,0.9275,0.8243,0.1212,0.1212,0,0,0.8057,0.9627,0.8697,2024-05-29 13:17:59
3.3126,0.5775,24.9307,0.0605,0.7562,0.9274,0.8243,0.1312,0.1312,0,0,0.789,0.96,0.8547,2024-05-29 13:29:46
3.3029,0.5795,24.8531,0.0595,0.7552,0.9271,0.8234,0.1212,0.1212,0,0,0.8,0.9618,0.8648,2024-05-29 13:41:36
3.3006,0.5808,24.9148,0.0571,0.7546,0.927,0.823,0.1213,0.1213,0,0,0.8074,0.9627,0.8714,2024-05-29 13:53:22
3.2498,0.5763,24.512,0.0556,0.7563,0.9275,0.8242,0.2152,0.2152,0,0,0.6341,0.9344,0.6955,2024-05-29 14:05:14
3.2591,0.5785,24.6244,0.0545,0.7556,0.9272,0.8239,0.1282,0.1282,0,0,0.7917,0.9605,0.8573,2024-05-29 14:17:13
3.2342,0.5773,24.4112,0.0539,0.7555,0.9274,0.8239,0.2144,0.2144,0,0,0.6352,0.9347,0.6967,2024-05-29 14:29:13
3.3288,0.576,25.4714,0.0514,0.7554,0.9273,0.8236,0.1278,0.1278,0,0,0.7944,0.9595,0.8589,2024-05-29 14:41:31
3.2477,0.5774,24.6814,0.0506,0.7561,0.9275,0.8243,0.2167,0.2167,0,0,0.6326,0.9342,0.6941,2024-05-29 14:53:49
3.1627,0.5773,23.912,0.0485,0.7557,0.9274,0.824,0.1306,0.1306,0,0,0.792,0.9606,0.8573,2024-05-29 15:06:17
3.3436,0.5782,25.7428,0.0478,0.7557,0.9272,0.8239,0.1217,0.1217,0,0,0.8031,0.9623,0.8676,2024-05-29 15:19:11
3.1792,0.5729,24.2274,0.0459,0.7572,0.9278,0.825,0.133,0.133,0,0,0.7877,0.9599,0.8535,2024-05-29 15:32:01
3.1525,0.5729,23.9964,0.045,0.757,0.9277,0.825,0.1309,0.1309,0,0,0.7863,0.9599,0.8519,2024-05-29 15:45:40
3.264,0.576,25.1079,0.0443,0.7565,0.9276,0.8245,0.1275,0.1275,0,0,0.7901,0.9604,0.8558,2024-05-29 15:58:15
3.2812,0.5747,25.3173,0.0437,0.756,0.9275,0.8241,0.1439,0.1439,0,0,0.775,0.9569,0.8383,2024-05-29 16:11:15
3.2142,0.5771,24.679,0.0423,0.7556,0.9273,0.8237,0.1361,0.1361,0,0,0.7857,0.958,0.8504,2024-05-29 16:24:11
