t_loss,t_supervised_loss,t_contrastive_loss,t_consistency_loss,t_miou,t_accuracy,t_dice,v_loss,v_supervised_loss,v_contrastive_loss,v_consistency_loss,v_miou,v_accuracy,v_dice,PatchCL_weight,time
0.0437,0.0339,0.0988,0,0.9488,0.9854,0.9728,0.156,0.156,0,0,0.8693,0.9565,0.9166,0.1,2024-06-07 03:23:00
0.044,0.0341,0.0987,0,0.9478,0.9852,0.9723,0.158,0.158,0,0,0.8697,0.9563,0.9167,0.1,2024-06-07 03:23:03
0.0427,0.0328,0.0987,0,0.9502,0.9856,0.9736,0.1556,0.1556,0,0,0.8754,0.9587,0.9203,0.1,2024-06-07 03:23:05
0.0433,0.0334,0.0987,0,0.9492,0.9855,0.973,0.1521,0.1521,0,0,0.8821,0.9618,0.9244,0.1,2024-06-07 03:23:08
0.0437,0.0339,0.0987,0,0.9491,0.9853,0.973,0.1474,0.1474,0,0,0.8856,0.9629,0.9268,0.1,2024-06-07 03:23:11
0.0433,0.0335,0.0987,0,0.9484,0.9852,0.9726,0.1557,0.1557,0,0,0.8757,0.959,0.9204,0.1,2024-06-07 03:23:13
0.0444,0.0341,0.103,0,0.9476,0.9851,0.9721,0.1659,0.1659,0,0,0.8639,0.9547,0.9132,0.1,2024-06-07 03:23:16
0.0442,0.0343,0.0987,0,0.9494,0.9852,0.9732,0.1616,0.1616,0,0,0.8679,0.9566,0.9158,0.1,2024-06-07 03:23:19
0.0435,0.0336,0.0987,0,0.9488,0.9854,0.9728,0.169,0.169,0,0,0.8606,0.9534,0.9109,0.1,2024-06-07 03:23:22
0.0426,0.0327,0.099,0,0.9491,0.9855,0.973,0.1554,0.1554,0,0,0.8756,0.9588,0.9206,0.1,2024-06-07 03:23:24
0.0431,0.0332,0.0987,0,0.9505,0.9858,0.9738,0.1531,0.1531,0,0,0.8794,0.9602,0.923,0.1,2024-06-07 03:23:27
0.0429,0.033,0.0987,0,0.9482,0.9855,0.9724,0.1533,0.1533,0,0,0.8829,0.9615,0.925,0.1,2024-06-07 03:23:30
0.0431,0.0332,0.0987,0,0.9494,0.9854,0.9731,0.155,0.155,0,0,0.8786,0.9596,0.9222,0.1,2024-06-07 03:23:33
0.0454,0.0346,0.108,0,0.9473,0.985,0.972,0.1426,0.1426,0,0,0.8914,0.965,0.9303,0.1,2024-06-07 03:23:35
0.0526,0.0342,0.1836,0,0.9485,0.9852,0.9726,0.1462,0.1462,0,0,0.8867,0.9633,0.9273,0.1,2024-06-07 03:23:38
0.0431,0.0333,0.0986,0,0.9502,0.9855,0.9735,0.1509,0.1509,0,0,0.8844,0.9622,0.9259,0.1,2024-06-07 03:23:41
0.044,0.0328,0.1126,0,0.9499,0.9857,0.9734,0.1411,0.1411,0,0,0.8887,0.9644,0.9286,0.1,2024-06-07 03:23:44
0.044,0.0341,0.0985,0,0.9486,0.9855,0.9727,0.1505,0.1505,0,0,0.8826,0.9614,0.9249,0.1,2024-06-07 03:23:46
0.0443,0.034,0.1032,0,0.9487,0.9854,0.9728,0.1532,0.1532,0,0,0.8788,0.9604,0.9225,0.1,2024-06-07 03:23:49
0.0431,0.0332,0.0986,0,0.9496,0.9857,0.9733,0.1445,0.1445,0,0,0.8871,0.9635,0.9275,0.1,2024-06-07 03:23:52
0.0447,0.0348,0.0986,0,0.9465,0.9848,0.9715,0.1525,0.1525,0,0,0.8817,0.9611,0.9243,0.1,2024-06-07 03:23:55
0.0427,0.0329,0.0986,0,0.9492,0.9857,0.973,0.1486,0.1486,0,0,0.8866,0.9631,0.9273,0.1,2024-06-07 03:23:58
0.0427,0.0328,0.0986,0,0.9502,0.9858,0.9736,0.1578,0.1578,0,0,0.8738,0.9577,0.9192,0.1,2024-06-07 03:24:00
0.0447,0.034,0.1076,0,0.9496,0.9856,0.9733,0.1475,0.1475,0,0,0.8856,0.963,0.9268,0.1,2024-06-07 03:24:03
0.0441,0.0342,0.0985,0,0.9486,0.9851,0.9727,0.15,0.15,0,0,0.8835,0.9624,0.9251,0.1,2024-06-07 03:24:06
0.0428,0.0329,0.0986,0,0.9499,0.9858,0.9734,0.1603,0.1603,0,0,0.8735,0.9582,0.9193,0.1,2024-06-07 03:24:08
0.0429,0.033,0.0986,0,0.9488,0.9855,0.9728,0.1605,0.1605,0,0,0.8717,0.9577,0.9179,0.1,2024-06-07 03:24:11
0.0434,0.0336,0.0986,0,0.9504,0.9856,0.9737,0.1624,0.1624,0,0,0.8706,0.9569,0.9174,0.1,2024-06-07 03:24:14
